經度,緯度,溫度
120.84000000000003,25.389999999999997,28.1
120.72000000000003,25.359999999999996,28.6
120.75000000000003,25.359999999999996,28.6
120.78000000000003,25.359999999999996,27.8
120.81000000000003,25.359999999999996,26.5
120.84000000000003,25.359999999999996,28.7
120.72000000000003,25.329999999999995,28.6
120.75000000000003,25.329999999999995,28.6
120.78000000000003,25.329999999999995,28.1
120.81000000000003,25.329999999999995,28.5
120.84000000000003,25.329999999999995,28.6
120.72000000000003,25.299999999999994,28.5
120.75000000000003,25.299999999999994,28.6
120.78000000000003,25.299999999999994,26.7
120.81000000000003,25.299999999999994,27.5
120.84000000000003,25.299999999999994,28.2
120.87000000000003,25.299999999999994,26.5
121.56000000000006,25.299999999999994,27.0
120.72000000000003,25.269999999999992,28.7
120.75000000000003,25.269999999999992,28.6
120.78000000000003,25.269999999999992,28.1
120.81000000000003,25.269999999999992,28.1
120.84000000000003,25.269999999999992,26.9
120.87000000000003,25.269999999999992,27.4
121.53000000000006,25.269999999999992,26.9
120.72000000000003,25.23999999999999,28.7
120.75000000000003,25.23999999999999,28.7
120.78000000000003,25.23999999999999,27.7
120.81000000000003,25.23999999999999,26.4
120.84000000000003,25.23999999999999,26.9
120.87000000000003,25.23999999999999,26.7
120.72000000000003,25.20999999999999,28.4
120.75000000000003,25.20999999999999,27.9
120.78000000000003,25.20999999999999,28.2
120.81000000000003,25.20999999999999,25.9
120.84000000000003,25.20999999999999,26.7
120.87000000000003,25.20999999999999,28.4
120.72000000000003,25.17999999999999,26.8
120.75000000000003,25.17999999999999,27.2
120.78000000000003,25.17999999999999,27.9
120.81000000000003,25.17999999999999,26.8
120.84000000000003,25.17999999999999,25.7
120.87000000000003,25.17999999999999,28.6
120.72000000000003,25.149999999999988,26.1
120.75000000000003,25.149999999999988,26.7
120.78000000000003,25.149999999999988,25.7
120.81000000000003,25.149999999999988,26.0
120.84000000000003,25.149999999999988,26.5
120.87000000000003,25.149999999999988,28.7
120.72000000000003,25.119999999999987,28.6
120.75000000000003,25.119999999999987,27.1
120.78000000000003,25.119999999999987,27.8
120.81000000000003,25.119999999999987,26.9
120.84000000000003,25.119999999999987,26.2
120.87000000000003,25.119999999999987,27.1
120.69000000000003,25.089999999999986,28.3
120.72000000000003,25.089999999999986,26.2
120.75000000000003,25.089999999999986,25.6
120.78000000000003,25.089999999999986,26.8
120.81000000000003,25.089999999999986,25.9
120.84000000000003,25.089999999999986,26.2
120.87000000000003,25.089999999999986,27.6
120.66000000000003,25.059999999999985,28.0
120.69000000000003,25.059999999999985,28.3
120.72000000000003,25.059999999999985,28.2
